,sentence,polarity
76,I recently signed up for a two year contract through Amazon.,2
77,I got the battery in the mail.,2
78,Not for everyone.,2
79,Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended,1
80,The synchronization did not work with the phone they advertised as being supported.,2
81,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0
82,It has kept up very well.,1
83,"Really boxy sound, and my past 4 headsets of the same kind broke without cause.",2
84,TAKES MOVING IT ABOUT AFTERTRYING DIFFERENT SIZES.,2
85,"It's not bad, but what do you expect for $3 or however much it is?",2
86,I canceled a line.,2
87,"Not sure why they made it that way, but it does have a pretty long charge (longer than my headphones).",2
88,Poor Talk Time Performance.,0
89,"But if you want a phone that has a good quality camera, takes videos, and etc.",2
90,The case is great and works fine with the 680.,1
91,worthless product.,0
92,(I had used other headsets with wires and wasn't happy with any of them; this is the first headset that I've found to be truly convenient.),2
93,"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.",1
94,"Fast connection speed and solid connection - when your phone rings, you need the headset to react quickly.",2
95,I was not impressed by this product.,0
96,(The audio CD's is what I want for my 'final product').,2
97,Nice headset priced right.,1
98,They can make anything.,2
99,I use it for about 6 hours a day and have dropped the earpiece a couple times.,2
100,The closest to a standard ring is the T-Mobile advertisement jingle.,2
101,I only hear garbage for audio.,0
102,It looks like a solid case with all the keys exposed.,2
103,"Verizon is a little faster, but $49.95 a month.",2
104,Excellent bluetooth headset.,1
105,It has all the features I want,1
106,I cannot review the remote's capabilities since it wouldn't work for this iHome we have.,2
107,And so far I haven't found the vibe and then ring option which was available even through the side button of the motorola.3.,2
108,Who in their right mind is gonna buy this battery?.,0
109,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0
110,This case seems well made.,1
111,Thank You... Almost perfect.... It's so much easier to carry a cable vs another mini brick for every device you need to charge in your laptop bag.,2
112,"Yes, I still think this phone is ridiculas- especially for 100 dollars.",2
113,"Connected it to a Motorola Cliq running Gingerbread, but the connection wasn't too strong and my conversations were difficult to maintain.",2
114,Disappointed with battery.,0
115,Not loud enough and doesn't turn on like it should.,0
116,This is the first headset that gives acceptable sound quality both sending and receiving on my Treo 700P.,2
117,good protection and does not make phone too bulky.,1
118,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1
119,This is the second time I have purchased this because my little cousin grabbed and broke the first one.,2
120,I don't have to charge my phone half as much as before.,2
121,it lasted about six months.,2
122,This phone is pretty sturdy and I've never had any large problems with it.,1
123,I don't know if it's T-Mobile though.,2
124,I tried it on my phobe and it was still very bad.,2
125,More bad than good.,2
126,I love this thing!,1
127,Everything about it is fine and reasonable for the price i.e.,1
128,And thas about it.It's not the perfect phone.,2
129,Lucky....I guess.,2
130,"It also constantly repeats, ""Command not recognized...."" or it would ask, ""Did you say?",2
131,SolidGreat.,2
132,"And while you can shut off the flashing blue light, you can't do so while you are already on a call.",2
133,"If not, it displays the caller id info.5.",2
134,So you can only control the positioning one dimensionally.,2
135,"My aim was to find a small, sleek, simple/contemporary looking phone.",2
136,"This product did the trick, came with all the necessary chargers, and data cable needed to get the lg scoop connected to my computer.",2
137,VERY DISAPPOINTED.,0
138,I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!,1
139,I bought this pretty much because of the Monster name.,2
140,I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.,1
141,I checked the tracking info a couple of days after the order and saw that the company said my product had been delivered last month.,2
142,Was a little surprised to find a 3-pin UK charger (with a cheap nasty adapter for US power outlets).,2
143,The buttons for on and off are bad.,0
144,I have returned my chager to Motorolla under warranty two times.,2
145,All contacts are combined.,2
146,It really is OEM.,2
147,Essentially you can forget Microsoft's tech support.,0
148,Wish I'd played with it the day it arrived.,2
149,"I really recommend this faceplates since it looks very nice, elegant and cool.",1
150,These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.,1
151,Buy a different phone - but not this.,0
152,You have to hold the phone at a particular angle for the other party to hear you clearly.,0
153,with my Treo 700w.,2
154,"It is a very snug fit, to snug I might add.",2
155,I have been with Cingular 400 Roll over plans for 3 years now.,2
156,"This product is not well suited for my LG Vue, I am still looking for a better armband.",2
157,"So if I can get 2gb of memory in a storage card for under $30, why couldn't they have increased the memory?",2
158,but was not compatible.. Did not work with my verizon phone and had to ship it back.,2
159,The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.,0
160,"A week later after I activated it, it suddenly died.",0
161,It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1
162,Great for iPODs too.,1
163,"And my wife also uses this unit, as I bought her one.",2
164,It might say 'Plantronics' in the ad but there aren't any marking of the manufacturer.,2
165,This device is great in several situations:1.),1
166,Mic Doesn't work.,0
167,Don't buy for KRZR K1m.,2
168,Maybe it's just the Creative product that cuses the problem?,2
169,Mine has a sync button.,2
170,They shipped to me a Monster RadioPlay 250.,2
171,"Since I bought this, I rarely use the headset to talk with.",2
172,logitech replaced it with this one 12/06.,2
173,"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying.",0
174,Great choice!,1
175,I have purchesed a few hand free ear pieces in the last 2 years.,2
176,Nice docking station for home or work.,1
177,Surprising to get at such price.,2
178,I reluctantly went about preparing my new keyboard for a return.,2
179,This is a beautiful phone.,1
180,Love this product.,1
181,Do Not Buy for D807...wrongly advertised for D807.,0
182,I live 4 miles outside city limits.,2
183,"As soon as I plugged them into my iPhone, I received an error message that the phone was not charging.",2
184,It's big and bulky and seems too heavy to hold on with the latch on the back of the unit.,2
185,About an hour into the trip I heard him scream that the cord was getting hot and pulled over to see what was going on.,2
186,This is a great little item.,1
187,i have other palm products and liked them.,2
188,"First, let me just say to those who bash this phove because of T-Mobile, STOP!",2
189,"Points for truth in advertising, though, as it really is a Danger Side Pouch--emphasis on DANGER!",2
190,"I love this phone , It is very handy and has a lot of features .",1
191,I purchased this and within 2 days it was no longer working!!!!!!!!!,0
192,Clip was so limp the battery wouldn't stay in the phone.,2
193,I wear it everyday and it holds up very well.,1
194,Not a good bargain.,0
195,"Well packaged, arrived on time, and works as intended.",1
196,"at first i was happy because it wasn't some stupid-looking free phones without a camera and stuff.on my other phone, i used speed dial.",2
197,Works every time.. I use these USB chargers to charge my Blackberry and my Drift camera.,2
198,PDA but no Communications.,2
199,"Otherwise, the best option you have is the earbuds that come with the phone.",2
200,The battery runs down quickly.,0
201,"This item worked great, but it broke after 6 months of use.",0
202,The headsets are easy to use and everyone loves them.,1
203,This phone works great.,1
204,Great product.,2
205,Caveat emptor.,2
206,"The vendor sent me a replacement headset after discovering the first one didn't work, and the replacement didn't work either.",2
207,"I agree with one of the other reviewers that it feels flimsy at first, you will be nervous about keeping it in your pocket.",2
208,I cut these pads to put under the rubber furniture pads between them and the floow and no more slipping.,2
209,Big difference.,2
210,The construction of the headsets is poor.,0
211,Don't bump into things.,2
212,Product was excellent and works better than the verizon one and Boy was it cheaper!,1
213,This keyboard really makes the BlackBerry much more useful!,2
214,The phone loads super!,1
215,All I asked for was the service they said they would provide.,2
216,I need to find the headset!!!,2
217,I always have problems with ear bud size!!!.,2
218,"Now, I can put them in this case and put the case in my purse, and when I want to pull my phone out, it's all together.",2
219,"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does.",0
220,My Motorola V197 fits just as it should into the case.,2
221,There is some distortion when I use the unit and people on the other end have complained about similar interference too.,2
222,Great clip!.,2
223,I should have read the other reviews for this item before I bought it.,2
224,so for the phone I give 5 thumbs up.,2
225,Most likely.,2
226,"The only remedy we have for non functioning headsets is replacement, if the headset is within the one year warranty.",2
227,Low power battery.,2
228,The image of this Lithium Ion Battery shown on the website is that of the original battery that come w/ Nokia phone.,2
229,"After contacting Cingular [again], they informed me that my information was now in the system, but the SIM would not respond.",2
230,Made very sturdy.,1
231,Worked great!.,1
232,"Upon my return to the US, the only compensation provided by T-Mobile was a replacement unit.",2
233,I can use it a few times then it won't work.,2
234,"I set the box up, but the instructions say it needs 15 feet of VERTICAL clearance between the base unit and the antenna.",2
235,I've put it away in a drawer I don't plan to use it much.,2
236,I'd stay away from these guys.,2
237,The ear buds only play music in one ear.,0
238,Dont waste your money...,0
239,I use them on a Windows XP PC and have had no issues once the software was installed.,2
240,"Paired up with a Bluetooth headset, I rarely have to touch the phone itself for actual phone calls; when I do, it's easy to use.",2
241,This will force the unit to run off the batteries (which come pre-charged).,2
242,Will order from them again!,1
243,No problem.,2
244,If you plan to use this in a car forget about it.,0
245,Thank you so much.,2
246,I was correct.,2
247,I found this product to be waaay too big.,0
248,Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.,1
249,I'm very disappointed with my decision.,0
250,Integrated seamlessly with the Motorola RAZR phone.,1
251,"Maybe you'll have better luck, but I'm going to swap these two for something that works more like a telephone (can you hear me now!)",2
252,helps you to throw that charger away and not use it at all.,2
253,Try getting a 172x220 animated GIF under 100K; its very very limiting.,2
254,I purchased this headset when my daughter was born.,2
255,Should have been easier.,2
256,"Buyer Beware, you could flush money right down the toilet.",0
257,This doesn't seem to be a new battery as they described on the site.,2
258,"For those who experience a lot of interference or muffling, I recommend you try the version with ""Noise Cancelling.""",2
259,I wanted to get this phone because it has has walkie-talkie and ringtones and it looks fine.So I want this phone.,2
260,"Now, the IPOD works like new and holds a charge for hours.",2
261,This would minimize background noise.,2
262,Bug in the Samsung e315 phone.,2
263,I wish I had bought a motorola phone.,2
264,Definitely a bargain.,1
265,I have no problem with signal though.,2
266,The price was very good and with the free shipping and all it was a good purchase.,1
267,I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.,0
268,"Pros:-Good camera - very nice pictures , also has cool styles like black and white, and more.",1
269,It's not comfy and everyone I talk to says they can't hear me when I use it.... Oh well...,2
270,"That's a huge design flaw (unless I'm not using it correctly, which I don't think is the case).",0
271,I bought the jabra c120 stereo earbuds because i thought it would work for my phone but it don't.,2
272,But the BlueAnt Supertooth Light was not what it was cracked up to be.,2
273,I never had signals going into buildings with AT&T; and the Nokia 6310i (more a fault of AT&T; rather than the Nokia).,2
274,"They claim to have faster service, but there were browser limitations that made it seem no faster to me that the IPAQ.",2
275,"I love my 350 headset.. My Jabra350 bluetooth headset is great, the reception is very good and the ear piece is a comfortable fit.",1
276,"The camera, although rated at an impressive 1.3 megapixels, renders images that fall well below expectations of such a relatively high resolution.",0
277,I purcashed this for the car charger and it does not work.,0
278,"Sound quality on both end is excellent, I use headset to call my wife and ask my wife to use headset to call me !2.",1
279,the included adapter as originally planned because they sound better and are more comfortable to wear for extended period of time.,2
280,So you end up paying 3 weeks of cellular charges with out using the services.,2
281,There are a few spots around town where my calls get dropped when I use my cellular phone while driving in the car.,2
282,This phone is slim and light and the display is beautiful.,1
283,its a little geeky but i think thats its sex on toast and it rocks and oozes sex right down to its battery embedded sleek stylish leather case.,1
284,This model Bluetooth was the first model I ever owned...that was 3 years ago.,2
285,The JAB C510 does not work with the IPhone 4 and I know the C250 does because I have one already.,2
286,"I ordered this product about a month ago.......didnt get it, wrote a not so great review.",2
287,"However, I feel the T610 has an easier user interface and is able to screen calls.The first RAZR was fine for the first 72 hrs.",2
288,"All in all, this phone is about the same as that one.",2
289,"Great product, fast shipping!.",1
290,(i) You cannot display SIM card memory OR phone memory.,2
291,Absolutely great.,1
292,It is a simple phone that does as good job.,2
293,The keyboard is a nice compromise between a full QWERTY and the basic cell phone number keypad.,1
294,The buttons are very well laid out.5.,2
295,"It's ""manner mode.""",2
296,i got this phone around the end of may and i'm completely unhappy with it.,0
297,This is exasperating.3.,2
298,"But, I just wish it had better internal memory.",2
299,It is very comfortable on the ear.,1
300,It has been a winner for us.,1
301,This is my first bluetooth headset.,2
302,I use a Nokia 6010 as my primary phone.,2
303,After several weeks of frustration -- and really wanting this headset to work -- I gave up and returned it.,2
304,"It's alot smaller, lighter, and WAY better.",2
305,Low down dirty battery time.,2
306,)Setup couldn't have been simpler.,1
307,I've tried several different earpieces for my cell phone and this Jabra one is the first one I've found that fits my ear comfortably.,1
308,GOOD answer!,2
309,Could not get strong enough signal.,0
310,The MP3 player in theory is nice but the headphone jack on the phone is proprietary so I can only use their headphones unless I pick up an adapter.,2
311,Will it ever work?.,2
312,"It works, and was cheap, what more can I say.",2
313,"Wanting to go wireless, I read reviews and felt the CS55 would fit my needs.",2
314,Iam glad to get adapter's like this for my old Sony phone.,2
315,Iam very pleased with my purchase.,1
316,I would recommend buying a screen protector with it as well.,2
317,This battery did not come in a NOKIA package and the black paint on the Nokia Hologram Logo is worn???,2
318,This is THE unit to purchase.,2
319,Bad Quality.,0
320,Gets the job done.,1
321,Great audio!.,1
322,I emailed them about the problem and they sent me the instructions to reset the phone within minutes.,2
323,I got the metallic blue cover and it was shipped without additional shipping charges (thank you!).,2
324,Protects go.,2
325,Basically the service was very bad.,0
326,"It doesn't help that the button is positioned so my thumb always wants to push it.On the positive side, it's a light phone with good quality sound.",2
327,"And, with rumors flying around that they're going to be bought out in the near future, I will be considering switching to Sprint.",2
328,The charger I ordered does not work!,2
329,"It worked out doors, at work, and most importantly in my condo.",2
330,Was delivered on the 26th.,2
331,I have no plans of switching carriers anytime soon.,2
332,(I cannot believe how many people are jawing away on a cell phone while pumping gas.,2
333,BARGAINCELL.,2
334,it did not work in my cell phone plug i am very up set with the charger!.,0
335,"I no longer carry the charger on business trips, I use this cable and charge my Treo 600 using a laptop instead.",2
336,"I've only had my bluetooth for a few weeks, but I really like it.",1
337,"My solution was to fit the hook under the outside of my ear, which pulls the bud down into my ear and holds it in place.",2
338,The cover is too short for the Motorola V3i cell phone.,2
339,The BT headset was such a disapoinment.,0
340,It is so small and you don't even realize that it is there after a while of getting used to it.,1
341,Samsung E105 - T-Mobile (5/5).,2
342,The accompanied software is almost brilliant.,1
343,The first problem was there was no caller id data on my external screen.,2
344,I primarily use my Palm Treo for making calls and using organizer functions.,2
345,Purchased at an AT&T; store on Friday along with my iPhone.,2
346,Headset works great & was packaged nicely to avoid any damage.,1
347,!I definitly recommend!!,1
348,Disappointed.,2
349,STATIC AND TROUBLE PAIRING.,2
350,This unit does the job.,2
351,Buyer--Be Very Careful!!!!!.,0
352,As soon as I am in a calm and unhurried mood I will try that option and update this review.,2
353,I am currently fighting w/ nokia so I can have them send me a new piece.,2
354,I do know that if the phone is resting on a spot and isnt touched the connection remains.,2
355,"I have not tried the other ""new"" battery, but it was completely dead when it arrived.",2
356,The new Blackberry has accomplished what they set out to do from the begining.,2
357,i used this product on a Blackjack II screen that was covered in cloudy patches of scratches.,2
358,"I use it for work, and when I have to call a client back because my headset doesn't work, that does not look good.",2
359,"Supposedly it's being pitched to the corporate market as Windows oriented, but it's botched for that purpose.",2
360,great for your camera etc .,2
361,I paired it with my Blackberry 8100 and it was simple and straightforward.,2
362,"The keyboard ships with a device holder at the top, but I pulled that off in the first week and have not looked back.",2
363,The magnetic latch at front of cover serves 2 purposes - holds cover in place and cuts power to the screen and keyboard when cover is closed (magic).,2
364,The majority of the Logitech earbud headsets failed.,0
365,"Charge time is less than an hour, but that steep of a descent in talk time is kind of harsh.",2
366,Sound was very scratchy when plugged in.,2
367,This product requires you to constantly change the station to play your IPOD anywhere while driving.,2
368,Very good stuff for the price.,1
369,"Then one day, I went to use them and the reciever crapped out.",2
370,"Stylish, sleek, ergonomic2.",2
371,great product.,2
372,"I do, however, try to put it back in it's cradle as much as possible during the day to prevent battery run-down.",2
373,"I'm using it with Skype, Photo Booth, and as a headset for Itunes and other apps that would normally use the speakers but I need private listening.",2
374,Here's the major problem and hopefully mine was defective.,2
375,Product was what I wanted just did not hold up.,2
376,My headset works just peachy-keen.,1
377,I went over to tombile and picked up the cheapest flip phone they had at the time.,2
378,The bad news is with Apple,2
379,I have a very small canon pocket camera that I bring with me when I bike.,2
380,I can't hear you!!!.,2
381,Heard it's a common problem for v220.,2
382,In my house I was getting dropped coverage upstairs and no coverage in my basement.,0
383,i think my problem might have been the wireless home network.,2
384,There are several menu options you must go through before you can get to your address book when texting.,2
385,I used it for a week.,2
386,I have used Palm m515 for years and it recently died and I thought that was heavy ( m515 was almost 4.5oz)I have used it for 3 days only.,2
387,Voice recognition is tremendous!,1
388,"(I think this is the difference between TeleNav capable versions, though)7.",2
389,What a waste.,0
390,The HS850 is larger than the H700 series and does not have a USB charger.,2
391,Not kidding.,2
392,"During several different 2 minute calls, I experienced 5 drops and it was in an area that had 5 bars.",0
393,The problem I found was that the clips leg expands way to little to slide on a mans' belt - or any normal leather belt for that matter.,2
394,They found out that by the number code that was on the CD.,2
395,I can't recommend the phone for the average user but would recommend it for someone who likes cutting edge equipment and doesn't mind a few hassles.,2
396,I was not happy with this item.,0
397,very disappointed.,0
398,"Now, it's been four weeks.",2
399,"I hoped that maybe I just received a bad phone, so I returned it for another.",2
400,Whether I'll be staying with AT&T; is the main question.,2
401,This device works well.,2
402,The phone takes FOREVER to charge like 2 to 5 hours literally.,0
403,I got this phone on reccomendation from a relative and I'm glad I did.,1
404,What a waste of time!,0
405,"However, I could barely understand him.",2
406,Backup usb cable is added bonus.,2
407,Worth the money.,2
408,"When it works though, it is a great bluetooth headset, and works really well with my Nokia 6233 and has great sound.",2
409,Its reception is very very poor.,0
410,Items stated as included from the description ARE NOT INCLUDED.,0
411,"Cord is too short, if you move your jaws (talk) good luck keeping the thing in your ear.",2
412,I have an ipod video and sandisk mp3 player and both sound great.,2
413,"After 3 months, screen just went black all of a sudden.",0
414,They both have the same problem.,2
415,"I carry a spare in my car, and one in my office.",2
416,There is no such thing as perfection...but the Q comes pretty darned close!,2
417,good but not so much.,2
418,I Was Hoping for More.,0
419,It's really cool!,2
420,"After a couple weeks of hearing complaints, I returned the 700, and purchased the Plantronics 510.",2
421,"I used it on the vent and on day two or three after I received it, it would start moving to the sides when I turned.",2
422,"Why the box says ""Desktop Charger"" is beyond me.",2
423,"Audio Quality is poor, very poor.",0
424,"After a week, I called again.",2
425,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1
426,I've still not seen a phone with an interface close to this one.,2
427,Sound is great and the controls are simple.,2
428,Lower per-minute rates (esp.,2
429,Does not work with iPhone 3GS.,2
430,The software does not recognize my phone.,2
431,It looks like this phone is geared towards the young professional under 30 crowd.,2
432,First the Ja-Blah errr Jabra Bt350 is a good headset if you do not know much about bluetooth.,2
433,Lacks most common connection.,2
434,Much handier then just a headseat.,2
435,thought case was all leather but much of it was clear plastic.,2
436,Nice Job By All.,2
437,"I know that sounds funny, but to me it seemed like sketchy technology that wouldn't work well.Well, this one works great.",1
438,sticky pad review.,2
439,(Wish I had realized there were new comments from Dell Axim owners.,2
440,I've bought $5 wired headphones that sound better than these.,0
441,Motorola H500.,2
442,Only by reading reviews was I able to clear up my issues.,2
443,"It took almost a month to get resolved, but I finally have the silver headset that I ordered.",2
444,One advantage to this one-piece design is the superior sturdiness it affords.,2
445,I sold my Discovery 650 and upgraded to the 655 because I thought the DSP would cut the noise in the car.,2
446,I don't need bells and whistles and I don't want my phone to do more than let me talk with my friends and family.,2
447,"So when the info on their site was bad, the charger did not work and guess who carries the bag?",2
448,"SPEAK UP?!?""",2
449,"Gripe - you cannot edit tasks with this phone, you can only change the title.",2
450,Post-Its would have more stickiness.,2
451,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1
452,lost phone.,2
453,"Nice quality build, unlike some cheap s*** out there.",1
454,Just What I needed.,2
455,So you are going to back up another cable 100 percent?,2
456,This item is fantastic and works perfectly!,1
457,"Works perfectly if you set the phone down, don't touch it and don't go over any bumps.",2
458,"Eventhough this holster does hold the phone, I've found it very difficult to get the phone in and out of the holster.",2
459,"or LG's Chocolate.In short, if you're just looking for a flashy, stylish phone the LG Chocolate fits the bill nicely.",2
460,And I just love the colors!,1
461,When it is fully charged the blue light goes out.,2
462,The earbuds would fall if you don't wear them over the ear.,2
463,The volume does not get high enough to hear well.3rd.,2
464,W810i is just SUPERB.,1
465,The max volume of the V600 is the mid-level volume of the Razr.,2
466,"However, these replacement batteries have proven perfect.",2
467,But now I realize what I've been missing out on.,2
468,The major drawback,2
469,"I like the keypad a lot, much better than my previous phone's teeny little buttons.",2
470,"All I can do is whine on the Internet, so here it goes.The more I use the thing the less I like it.",0
471,"Cute phone, a few glitches.",2
472,The other colored skins hide the beauty of the phone.The SLVR is the best phone I've ever had and I'm very happy with it.,2
473,What can you do about this?All it takes is a pocket knife or any other utensil suitable for taking a bit of plastic off the top tongue.,2
474,"already i've had problems with the phone ""freezing up.""",2
475,I needed a hands-free device to comply with the new California driving law.,2
476,Plantronics does ask that you return the broken headset in exchange but still it's a huge savings to handle a replacement this way.,2
477,Sony car charger.,2
478,I took it home to charge it and it wouldn't accept a charge.,2
479,I am a vibrate only guy.,2
480,It holds a charge much better.,2
481,"Its very compact and easily fits in your pocket, purse or briefcase.",2
482,great replacement.,2
483,Verizon Techs have admitted to me that the antennae in the handset just doesn't pick up well.,2
484,I purchased the phone and returned it.,2
485,Great charger.,1
486,Buyer Beware!.,2
487,Best Bluetooth.,2
488,"""I say:CACA!",2
489,This company is a ripoff and will never do business with them again.,2
490,The Samsung A-950 is not a good choice to make despite what others are saying.,2
491,"Initially there was some concern as to whether or not the Flexicase would interfere with thumbing, but no problems with that so far.",2
492,It was in a plain white box with bot a T603 and T605 label and the unit was clearly marked T603.,2
493,I'm glad I rejected the opinion of the reviewer who said it was too bulky and that it stuck out too far.,2
494,It is a mystery each day how the phone will respond to the owner's touch.,2
495,Does not work with Blackberry Pearl.,2
496,"Plus, the anti-noise technology doesn't really work.",2
497,"The phone itself is good, but certain features make it VERY annoying.",2
498,Dont do it.,2
499,These made the WEP-200 bearable to wear all day.,2
500,The item arrived fast--within 6 days-- and worked fine.,2
501,Total frustration & a waste of money.,2
502,In that respect it is a great phone.,2
503,I have enjoyed this product every much.,2
504,"I couldn't hear anyone and they couldn't hear me, it wound up in the trash.",2
505,This ribbon cable in turn activates the screen when the phone is slid open (or closes is when slid shut).,2
506,This phone sucks!.,2
507,The extended battery is wonderful and the price was great!!!,2
508,Nothing by dead silence.,2
509,It keeps turning off!.,2
510,It was heavily distorted through the audio system.,2
511,It's a phone with a PDA or vice-verce.,2
512,"Click Text Message"""".9.""",2
513,This is essentially a communications tool that does not communicate.,0
514,None of the Jabras or Motorolas come close to the performance and comfort of the 510.,2
515,Works like a charm; it work the same as the one I got with the phone.,1
516,Don't Bother with this Seller.,2
517,"Sound quality is clear and loud, even in loud environments like airports.",2
518,This phone is no exception.,2
519,What Customer service?.,2
520,for the second time!,2
521,"I still maintain that monkeys shouldn't make headphones, we just obviously don't share enough DNA to copy the design over to humans.",0
522,I'll try it for a couple more days before shipping it back.,2
523,"On the Siemens, Panasonic and Vtech though, audio performance was marginal- it sounded like you were across the room.",2
524,I had read the reviews and just hoped I didn't get a duff one like some of the others.,2
525,"If I could do it over, I would probably not buy this cover and just carry the player as is.",2
526,The only thing it did is make my wife question my thinking!,2
527,Great Value.,1
528,That's impressive.,2
529,Since that is where the mike is... it picks it up loudly.,2
530,Doesn't work at all.. I bougth it for my L7c and its not working.,0
531,Not sure the reasoning....but am happy with the product and excellent service!,2
532,I bought this recorder module for the purpose of recording classes at a music symposium I attended this month.,2
533,Hope this helps you as well.,2
534,"And, now I can put *any* sim card in the phone, not just Cingular/AT&T.",2
535,"The look of it is very sharp and the screen is nice and clear, with great graphics.",1
536,I've had this for about a year.,2
537,"Compatibility with this phone, although more advanced than the K1 and the T637, is terrible.Works like a charm with the HTC Touch.",2
538,doesn't last long.,0
539,None of those phones had covers like mine!,2
